Reward,Diff baseline
12,238.31027200888798
12,223.3849429010122
23,250.07135730832692
42,490.10957280231855
14,251.29158936290673
14,207.23634022369947
28,375.95003428188
8,-498.9999913619047
4,-612.784038644101
43,330.27357704166775
28,117.38393494403704
10,-342.3893648318292
17,-176.87795576531653
24,328.2283206200036
25,262.9934543139291
42,474.5559244944029
14,251.29158936290673
-2,-719.9008259686805
27,306.7672268683077
48,379.38768279260535
14,200.4815336664185
11,-130.95175889701363
28,328.7351274599491
9,-109.77561096891077
6,103.222501569202
45,342.53812146537496
44,492.077237311477
9,-99.90286394047598
22,33.794171505546046
22,33.794171505546046
47,366.5044380608906
46,370.99015796224467
16,223.85149729075283
20,230.80779968140814
48,464.0900340722259
33,-4.545242984703236
3,-178.98890839047704
7,36.788444314005574
